,Name,Species
0,Thrain,Dwarf
1,Brokk,Dwarf
2,Brynja,Dwarf
3,Durgan,Dwarf
4,Hilda,Dwarf
5,Baelor,Dwarf
6,Kartha,Dwarf
7,Korrim,Dwarf
8,Thora,Dwarf
9,Harnak,Dwarf
10,Frekka,Dwarf
11,Grumli,Dwarf
12,Marn,Dwarf
13,Torvin,Dwarf
14,Ygdis,Dwarf
15,Rurik,Dwarf
16,Velda,Dwarf
17,Varnak,Dwarf
18,Bruni,Dwarf
19,Dworic,Dwarf
20,Skelda,Dwarf
21,Beldrin,Dwarf
22,Dagna,Dwarf
23,Ogrin,Dwarf
24,Grenda,Dwarf
25,Keldar,Dwarf
26,Sigrid,Dwarf
27,Thorek,Dwarf
28,Helja,Dwarf
29,Morgran,Dwarf
30,Orla,Dwarf
31,Bramli,Dwarf
32,Runa,Dwarf
33,Ulric,Dwarf
34,Tilda,Dwarf
35,Skorri,Dwarf
36,Urda,Dwarf
37,Dain,Dwarf
38,Magni,Dwarf
39,Vora,Dwarf
40,Guurr,Kobold
41,Huur,Kobold
42,Haaah,Kobold
43,Kurr,Kobold
44,Snigbat,Kobold
45,Zem,Kobold
46,Tik,Kobold
47,Snux,Kobold
48,Raks,Kobold
49,Vavla,Kobold
50,Gelgi,Kobold
51,Sulgu,Kobold
52,Elbo,Kobold
53,Zekda,Kobold
54,Vogle,Kobold
55,San,Kobold
56,Digs,Kobold
57,Mix,Kobold
58,Snen,Kobold
59,Rirpo,Kobold
60,Gakru,Kobold
61,Dippe,Kobold
62,Mehri,Kobold
63,Rulo,Kobold
64,Kikle,Kobold
65,Toks,Kobold
66,Pogs,Kobold
67,Kooks,Kobold
68,Uggy,Kobold
69,Poup,Kobold
70,Sist,Kobold
71,Denees,Kobold
72,Denniphu,Kobold
73,Bert,Kobold
74,Ernie,Kobold
75,Elmo,Kobold
76,Grover,Kobold
77,Klack,Kobold
78,Klick,Kobold
79,Klank,Kobold
80,Niblu,Kobold
81,Kip-Kig,Kobold
82,Klinker,Kobold
83,Sawtooth,Kobold
84,Brummage,Kobold
85,Spurt,Kobold
86,Teemork,Kobold
87,Rask,Kobold
88,Skree,Kobold
89,Wrick,Kobold
90,Zixx,Kobold
91,Bullion,Kobold
92,Bilv,Kobold
93,RedScales,Kobold
94,Scrat,Kobold
95,Tesk,Kobold
96,Tsin,Kobold
97,Urt,Kobold
98,Thud,Kobold
99,Derpa,Kobold
100,Dooby,Kobold
101,Chickle,Kobold
102,Bonz,Kobold
103,Fetter,Kobold
104,Zemma,Kobold
105,Derks,Kobold
106,Snesk,Kobold
107,Aelion,Elf
108,Thandor,Elf
109,Kaelen,Elf
110,Elrohir,Elf
111,Faelar,Elf
112,Eryndor,Elf
113,Lorion,Elf
114,Vaelis,Elf
115,Sylas,Elf
116,Galen,Elf
117,Orien,Elf
118,Thalion,Elf
119,Elandor,Elf
120,Maelor,Elf
121,Arannis,Elf
122,Soren,Elf
123,Lirael,Elf
124,Althir,Elf
125,Ilarion,Elf
126,Nythan,Elf
127,Seraphine,Elf
128,Aenira,Elf
129,Lirael,Elf
130,Myrwen,Elf
131,Elira,Elf
132,Thalindra,Elf
133,Alenya,Elf
134,Sylvara,Elf
135,Elaria,Elf
136,Naivara,Elf
137,Anwyn,Elf
138,Yllaria,Elf
139,Faelivrin,Elf
140,Mirelle,Elf
141,Virelya,Elf
142,Isilme,Elf
143,Aranel,Elf
144,Talyndra,Elf
145,Shael,Elf
146,Rinaeth,Elf
147,Alden,Human
148,Bennett,Human
149,Cedric,Human
150,Darian,Human
151,Edric,Human
152,Faelan,Human
153,Garrick,Human
154,Hadrian,Human
155,Ivor,Human
156,Jareth,Human
157,Kael,Human
158,Lucan,Human
159,Merric,Human
160,Nolan,Human
161,Orin,Human
162,Percival,Human
163,Quentin,Human
164,Roderic,Human
165,Theron,Human
166,Ulric,Human
167,Adela,Human
168,Brienne,Human
169,Celia,Human
170,Delara,Human
171,Elira,Human
172,Fiora,Human
173,Gwenna,Human
174,Helena,Human
175,Isolde,Human
176,Jasmina,Human
177,Kaia,Human
178,Liora,Human
179,Mira,Human
180,Nerida,Human
181,Olira,Human
182,Petra,Human
183,Quinna,Human
184,Rhoswen,Human
185,Selene,Human
186,Talia,Human
